"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.8536442518234253,550.4714965820312,552.70068359375,545.56982421875,528.48583984375,549.280029296875,545.6617431640625,540.7316284179688,538.1508178710938,528.3403930664062,540.9911499023438,529.7890625,555.9553833007812,563.0675048828125,519.6251220703125,553.5800170898438,519.8436279296875,546.2613525390625,588.2899169921875,531.0856323242188,550.5890502929688,7.660447390355277e-16,7.675672807582173e-16,7.653172436129546e-16,7.568414084262545e-16,7.540785987105478e-16,7.615489528492979e-16,7.569764572417823e-16,7.562075630839122e-16,7.522763243570274e-16,7.651244377383359e-16,7.493906419244096e-16,7.461466645551033e-16,7.705903413469679e-16,7.501783825653561e-16,7.373365689915929e-16,7.537270800374372e-16,7.589756138159801e-16,7.657176784387691e-16,7.613986045011602e-16,7.483205216746722e-16,0,24.856952667236328,2.644956254016506e-09,25.558427810668945,20,3.2995227883247935e-08,,,,,,0.09883037209510803,2.772198438644409,,,,
0.820117712020874,546.5050048828125,545.0555419921875,548.7723999023438,539.9758911132812,523.4539184570312,543.0200805664062,535.938720703125,539.4053344726562,538.9290771484375,521.559326171875,531.2709350585938,534.0026245117188,524.3079833984375,556.5994873046875,516.7601318359375,556.541015625,512.31396484375,544.474853515625,576.3502197265625,526.8345947265625,7.64986000791019e-16,7.777657692013959e-16,7.718481323340813e-16,7.76691096149567e-16,7.526454189637935e-16,7.503057022052403e-16,7.540122125033067e-16,7.722161152101041e-16,7.815539122997539e-16,7.504406451416497e-16,7.633394216811158e-16,7.722506847422639e-16,7.535536500414869e-16,7.777641810146198e-16,7.601390665085931e-16,7.583295394354619e-16,7.55704107875888e-16,7.770755961680612e-16,7.478118254502868e-16,7.688679527882855e-16,0,24.65505027770996,2.666616039093128e-09,25.558427810668945,21,3.3237657959261924e-08,,,,,,0.10473431646823883,2.743411064147949,,,,
0.9182490706443787,553.4440307617188,569.9564208984375,575.3257446289062,572.408447265625,564.826171875,546.2908325195312,565.6693725585938,563.4755859375,563.3201904296875,558.0438232421875,554.9783935546875,545.750244140625,555.15966796875,553.6002807617188,589.3140258789062,539.8484497070312,585.4591064453125,537.9248046875,569.464599609375,615.145263671875,7.65594541024062e-16,7.599332375024103e-16,7.811356897820471e-16,7.616770136430109e-16,7.639998426821782e-16,7.433435148952836e-16,7.371310576227653e-16,7.517098181339919e-16,7.635171927209208e-16,7.625735980176795e-16,7.736120255071792e-16,7.437739664511664e-16,7.534540177910661e-16,7.645555492351362e-16,7.925721168776378e-16,7.478868937452372e-16,7.797184977821722e-16,7.589807489532228e-16,7.719811694463594e-16,7.847915898615151e-16,0,25.810575485229492,2.5472330911213703e-09,25.558427810668945,22,3.321133945632937e-08,,,,,,0.07800641655921936,2.8379499912261963,,,,
0.8567215800285339,599.5912475585938,539.4259643554688,559.4066162109375,558.5591430664062,563.394775390625,549.5733642578125,539.7825927734375,560.4747924804688,557.0894775390625,550.183349609375,567.4075317382812,547.429443359375,538.270751953125,549.9066162109375,542.8184204101562,573.2601318359375,527.8189697265625,566.0059814453125,532.7835693359375,556.6827392578125,7.690127954222659e-16,7.556927788102184e-16,7.556412686191135e-16,7.600060823358741e-16,7.70773088705338e-16,7.478980110526699e-16,7.61672090264005e-16,7.678825358332735e-16,7.633607033839156e-16,7.551101789611851e-16,7.592302001561892e-16,7.548192231438032e-16,7.5355121482176355e-16,7.660266337062801e-16,7.614020455725084e-16,7.685106637032217e-16,7.487171448522241e-16,7.412438790377178e-16,7.670839425826903e-16,7.5872542145918485e-16,0,25.264625549316406,2.602277060503866e-09,25.558427810668945,23,3.304174001073079e-08,,,,,,0.08843597769737244,2.7799577713012695,,,,
0.8733208179473877,554.7346801757812,599.2137451171875,534.70703125,558.1279296875,558.8839111328125,562.1780395507812,555.4321899414062,539.8842163085938,559.7939453125,554.5567626953125,556.6401977539062,551.5999145507812,565.705810546875,540.5250244140625,551.3287963867188,542.0366821289062,567.9066162109375,533.5624389648438,566.3837890625,524.5921630859375,7.580412305960402e-16,7.642548525388609e-16,7.480594237686811e-16,7.510334623256093e-16,7.628494131211292e-16,7.647962124712748e-16,7.658854968414439e-16,7.588036661276875e-16,7.554067463718425e-16,7.573241642666302e-16,7.606474980351825e-16,7.60646598062676e-16,7.508158277977242e-16,7.58515145530029e-16,7.76850920678802e-16,7.572760422073143e-16,7.537405796250341e-16,7.550149936337374e-16,7.371012526509338e-16,7.467592811342049e-16,0,25.309879302978516,2.597624115807662e-09,25.558427810668945,24,3.301668627386789e-08,,,,,,0.08779634535312653,2.794933557510376,,,,
0.821623682975769,516.3872680664062,546.818603515625,593.2267456054688,533.1890258789062,552.7686767578125,555.3159790039062,558.4850463867188,546.66650390625,529.7352294921875,547.2142333984375,546.0438232421875,542.6280517578125,545.0070190429688,562.1143798828125,535.68896484375,537.0865478515625,529.861328125,566.7249755859375,519.728515625,564.7319946289062,7.453163605085572e-16,7.634548299201792e-16,7.722017156500008e-16,7.630619654513309e-16,7.552670918146639e-16,7.750312292103038e-16,7.69251499894714e-16,7.662629029590049e-16,7.428120017208815e-16,7.427241220526039e-16,7.416757070221399e-16,7.487734196036573e-16,7.439122445798056e-16,7.680702065706495e-16,7.710831557035923e-16,7.562963427246963e-16,7.399885232703277e-16,7.839582153205352e-16,7.406764199026166e-16,7.651557250178251e-16,0,25.061437606811523,2.6233752947746325e-09,25.558427810668945,25,3.321729380445504e-08,,,,,,0.09410947561264038,2.7513535022735596,,,,
0.8666545152664185,583.1881103515625,543.3225708007812,564.9396362304688,619.8175048828125,548.4700317382812,581.0347900390625,576.1661376953125,576.4813842773438,562.38037109375,549.3584594726562,557.105224609375,575.6761474609375,570.2086791992188,571.0681762695312,580.4876708984375,550.818359375,559.8439331054688,550.76708984375,586.0732421875,537.2012939453125,7.644852455005141e-16,7.701186498744656e-16,7.59572666164676e-16,7.942485538989317e-16,7.542320175531192e-16,7.829615751789721e-16,7.805043325989874e-16,7.705039969259071e-16,7.568420437009649e-16,7.554161696133807e-16,7.517343291499031e-16,7.724940478959219e-16,7.684244781008386e-16,7.748125888307937e-16,7.720520025765736e-16,7.637696614787618e-16,7.657116433290199e-16,7.598115294558017e-16,7.807318668244436e-16,7.49068504706657e-16,0,25.91844940185547,2.5366315714592247e-09,25.558427810668945,26,3.341421717095727e-08,,,,,,0.08082175999879837,2.794128894805908,,,,
0.862084150314331,535.3118286132812,574.4611206054688,531.5215454101562,562.30224609375,602.3812255859375,546.5889892578125,569.9259033203125,568.3804931640625,568.0784912109375,562.6435546875,578.2921752929688,538.975341796875,555.5267944335938,561.7261962890625,560.9881591796875,578.7067260742188,546.6416015625,552.114990234375,545.6491088867188,579.79541015625,7.385228915737817e-16,7.546908976522942e-16,7.41032861954733e-16,7.645030861319656e-16,7.596721395964191e-16,7.629262813610926e-16,7.587940311279124e-16,7.73035196070099e-16,7.598212173951359e-16,7.714115927288901e-16,7.682239430505762e-16,7.331122039253989e-16,7.633654150046847e-16,7.495561839260386e-16,7.493802128312466e-16,7.772680314657656e-16,7.645525316802616e-16,7.483099867023908e-16,7.420256375084743e-16,7.755842887853016e-16,0,25.669050216674805,2.5612771903382736e-09,25.558427810668945,27,3.328946718283987e-08,,,,,,0.08739952743053436,2.7897908687591553,,,,
0.8540408611297607,590.1009521484375,542.82275390625,589.2994384765625,541.213623046875,574.2679443359375,619.51708984375,558.5662841796875,576.1627807617188,576.6735229492188,582.7669677734375,579.0504760742188,569.318115234375,587.140869140625,567.8905029296875,573.6591796875,573.0106201171875,588.892333984375,559.3624877929688,565.5667114257812,552.77490234375,7.852510522958413e-16,7.512161567444203e-16,7.715769229722823e-16,7.569044594412657e-16,7.7825853061846105e-16,7.804534047430338e-16,7.704784271188119e-16,7.667865281390856e-16,7.753046090940301e-16,7.80619264382018e-16,7.63285582149406e-16,7.639470090020932e-16,7.784345017132531e-16,7.775297646464671e-16,7.692205831921393e-16,7.708986613397684e-16,7.812017583519329e-16,7.804312230677275e-16,7.719720109026172e-16,7.522591719398455e-16,0,26.007286071777344,2.527966724841235e-09,25.558427810668945,28,3.3164258894657905e-08,,,,,,0.10824709385633469,2.772907018661499,,,,
0.8685508370399475,528.8131713867188,560.3186645507812,522.590087890625,553.3907470703125,521.4910278320312,545.6229858398438,590.2769775390625,529.8726806640625,553.8175659179688,552.396728515625,563.029052734375,554.398193359375,554.9283447265625,561.6627807617188,539.8682861328125,548.9765014648438,552.7943115234375,561.172119140625,530.2615356445312,543.0570068359375,7.336839511647955e-16,7.47958150391925e-16,7.418471253148404e-16,7.195165839681385e-16,7.535957369910536e-16,7.437221915622654e-16,7.584621530312664e-16,7.518236911258384e-16,7.520361905164808e-16,7.649512195006224e-16,7.537594261081105e-16,7.584737467947319e-16,7.429394272398841e-16,7.570262733669927e-16,7.4254920974899585e-16,7.539123155550899e-16,7.633556211862321e-16,7.49028694158136e-16,7.502595918491741e-16,7.6195441693323665e-16,0,25.051162719726562,2.6244511008854943e-09,25.558427810668945,29,3.298226758374767e-08,,,,,,0.07676650583744049,2.7895267009735107,,,,
